624,Curry de poulet,"{- ½ botte de coriandre,- 2 cuil. à café de cacahuètes nature grillées,- 1 patate douce,- 2 petits oignons,- 300 g de blancs de poulet, idéalement avec la peau,- 3 cuil. à soupe de pâte de curry jaune,- 1 cuil. à café d’épices garam masala (dans les épiceries indiennes),- 50 cl de lait de coco,- 1 cuil. à soupe de sauce nuoc,- mâm,- 1 cuil. à soupe de sucre de palme ou de cassonade,- 1 cuil. à soupe de purée de tamarin (dans les épiceries asiatiques ou antillaises),- 4 cuil. à soupe d’huile végétale,- Sel, poivre
 
Recette extraite du livre Thaïlande,-  Les meilleures recettes (c) Thomas Feller}",,,9
630,Bavette à l'échalote,"{- ½ botte de persil plat,- 5 échalotes,- Bain de friture,- 3 cuil. à soupe d’huile de tournesol,- 50 g de beurre,- 500 g de bavette (un morceau entier),- 2 cuil. à soupe de farine,- Sel, poivre du moulin
 
Recette extraite du livre Viandes de Jean,- François Mallet}",,,11
295,"Langoustines cuites / crues, Saint Nectaire fermier, condiment citron","{- ¼ de Saint,- Nectaire fermier 12 langoustines 3 citrons jaunes non traités 20 g de sucre 10 cl d’eau 1 g de graines d’aneth Sel}",,,16
309,Velouté de concombre à la menthe et pommes de terre au curry,"{-  100 g de pommes de terre à chair ferme,-  4 cuil. à soupe d'huile d'olive,-  1 cuil. à soupe rase de curry,-  2 concombres,-  Le jus de 1 citron,-  3 yaourts grecs,-  25 cl de lait fermenté,-  1 bouquet de menthe,-  Sel, poivre du moulin}",,,29
422,Feuilleté aux épinards et au chèvre,"{-  10 feuilles de brick,-  1 kg d'épinards,-  1 bouquet de coriandre,-  2 oignons,-  3 chèvres frais de 100 g chacun environ,-  2 œufs,-  20 clde crème fraîche,-  30 g de beurre,-  Huile de tournesol,-  Sel, poivre}",,,6
296,"Croustillant de Saint-Nectaire, viande des grisons, mousserons et mesclun de salade","{- 120 g de Saint,- Nectaire fermier 120 g de viande des grisons 120 g de mousserons frais Feuilles de brick Mesclun Vinaigrette}",,,11
291,Rôti de porc aux pommes,"{-  1,250 kg de porc à rôtir (longe, carré désossé, échine),-  1 kg de pommes,-  20 g de beurre,-  Noix muscade,-  Sel}",,,5
158,Veau aux olives,"{-  1,250 kg de veau à braiser : tendron, flanchet et épaule mélangés, coupés en cubes de 5 cm,-  2 oignons,-  1 carotte,-  1 cuil. à soupe de jus de citron,-  3 branches de persil plat,-  2 gousses d'ail,-  1 bouquet garni,-  40 cl de coulis de tomate,-  18 olives noires,-  25 cl de vin blanc sec,-  1 tablette de bouillon de volaille instantané,-  1 bâton de cannelle de 5 cm,-  noix muscade,-  1 morceau de sucre,-  2 cuil. à soupe d'huile,-  1 cuil. à soupe de farine,-  sel, poivre}",,,4
747,Bûche de Noël (aux marrons) par Françoise Bernard,"{-  125 g de chocolat noir,-  100 g de sucre glace,-  100 g de beurre,-  1 boîte de 500 g de purée de marrons non sucrée}",,,23
172,Tomates farcies,"{- 12 belles tomates rondes,- 200 g de riz long,- 500 g de viande de bœuf hachée,- 1 cuil. à café d’ail haché surgelé,- 2 cuil. à soupe d’échalote hachée surgelée,- 2 cuil. à soupe de menthe hachée surgelée,- 2 cuil. à soupe de coriandre hachée surgelée,- 2 cuil. à soupe de ciboulette hachée surgelée,- 75 g de comté râpé,- 4 cuil. à soupe d’huile d’olive,- Sel, poivre Recette extraite du livre Enfants : mon premier livre de cuisine, Thomas Feller.}",,,8
6,Tourte au crabe et petits légumes,"{-  12 feuilles de brick,-  300 g de crabe en miettes,-  2 carottes,-  1 grosse courgette,-  1 branche de céleri,-  2 cuil. à soupe de crème fraîche épaisse,-  1 botte de ciboulette hachée,-  Huile d'olive,-  Sel, poivre}",,,6
119,Croustillants de caille,"{-  12 feuilles de brick,-  8 cailles,-  4 pommes golden moyennes (pour la présentation),-  8 cuil. à soupe de compote de pomme non sucrée,-  4 petits oignons,-  400 g de raisin vert,-  20 g de beurre,-  1/4 de cuil. à café de gingembre,-  8 cuil. à soupe d'huile de tournesol}",,,3
752,Jambon de Bayonne Aoste Sélection en samossa de gambas et piment d'Espelette,"{-  12 Grandes tranches de jambon de Bayonne Aoste Sélection,-  300g de Gambas surgelées,-  1 Oignon rouge,-  1 Botte de ciboulette,-  6 Pincées de Piment d'Espelette,-  5 cl d'Huile d'olive,-  6 Pincées de sel fin,-  6 Tours de moulin à poivre}",,,16
102,Bœuf bourguignon,"{-  1,2 kg de bœuf dans le jumeau et la pointe de paleron,-  150 g de poitrine de porc fraîche ou demi,- sel,-  300 g de champignons de Paris,-  250 g de petits oignons grelots pelés,-  4 carottes,-  4 oignons,-  4 gousses d'ail,-  1 bouquet garni,-  75 cl de bourgogne rouge,-  1 tablette de bouillon de bœuf,-  100 g de beurre,-  2 cuil. à soupe d'huile,-  3 cuil. à soupe de farine,-  1 cuil. à soupe de sucre en poudre,-  Sel, poivre du moulin
 
Recette extraite du livre Viandes de Jean,- François Mallet}",,,11
725,Fricassée de caïon à la savoyarde,"{-  1,2 kg de carré de porc découvert désossé (os à part),-  200 g de foie de porc,-  50 g de beurre,-  10 cl de crème fraîche liquide,-  2 oignons,-  1 bouquet garni,-  2 clous de girofle,-  1/2 bouteille de vin blanc,-  1/2 bouteille de vin rouge (mondeuse),-  4 cuil. à soupe de farine,-  2 cuil. à soupe d'huile,-  1 cuil. à café de poivre concassé,-  Sel}",,,5
718,Ceviche,"{-  1,2 kg de filets de poisson(bar, dorade, merlu, espadon, cabillaud...),-  8 citrons verts,-  1 oignon rouge,-  6 tomates,-  1/2 poivron vert,-  1/2 piment vert,-  1/4 de bouquet de coriandre,-  6 cuil. à soupe d'huile d'olive,-  Sel}",,,7
269,Daube provençale et sa macaronade,"{-  1,2 kg de gîte de bœuf,-  100 g de lard maigre,-  350 g de macaronis,-  40 g de gruyère râpé,-  40 g de parmesan râpé,-  1 lanière de zeste d'orange séché,-  25 cl de rouge de Provence,-  15 cl de vinaigre de vin,-  2 beaux oignons,-  6 gousses d'ail,-  1 bouquet garni,-  2 cuil. à soupe d'huile d'olive,-  Sel, poivre}",,,11
124,Marcassin à la mode de Paimpont,"{-  1,2 kg de marcassin sans os,-  2 carottes,-  3 oignons,-  3 gousses d'ail,-  2 branches de thym,-  2 feuilles de laurier,-  1 bouteille de muscadet,-  1 petit verre d'eau,- de,- vie,-  2 cuil. à soupe de saindoux ou de beurre,-  2 cuil. à soupe de farine,-  Sel, poivre du moulin}",,,3
3,Veau au citron,"{-  1,2 kg de noix de veau,-  50 g de lardons maigres,-  3 oignons,-  2 carottes,-  4 échalotes,-  1 petit bouquet de persil plat,-  1 gros citron à peau fine ou 2 petits,-  20 cl de bouillon de pot,- au,- feu fait maison ou préparé avec un cube,-  10 cl de madère,-  25 g de beurre,-  Sel, poivre blanc du moulin}",,,4
742,"Rôti de bœuf, purée de citrouille et pommes de terre muscade","{-  1,2 kg de rôti de bœuf sans barde,-  1,5 kg de citrouille,-  500 g de pommes de terre,-  3 gousses d'ail,-  100 g de beurre demi,- sel,-  20 g de beurre doux,-  1 l de lait entier,-  25 cl de crème fraîche épaisse entière,-  3 à4 pincées de noix muscade fraîchement moulue,-  Sel, poivre}",,,11
148,Œufs brouillés,"{- 12 œufs,- 6 brins de ciboulette,- 40 g de beurre,- 2 cl de crème liquide entière,- 1 pincée de piment d’Espelette,- Fleur de sel de Guérande
 
Recette extraite du livre Sans gluten,-  Recettes gourmandes testées à la maison de Alexandra Beauvais}",,,24
597,Hambougnat au Saint-Nectaire,"{- 12 petites tranches de pain de mie 600 g de Saint,- Nectaire fermier 2 œufs 1 tomate 200 g de noisettes en poudre 200 g de chapelure Salade}",,,10
749,"Salade de carottes, avocat et Reblochon à l'orange","{- 1/2 Reblochon de Savoie 4 carottes 1 avocat 2 oranges 4 cuillères à soupe d’huile d’olive 2 cuillères à soupe d’huile de noisette Sel, poivre du moulin.}",,,11
590,Soupe de courgettes au lait de coco,"{-  1,4 kg de courgettes,-  2 oignons,-  2 citrons verts,-  2 cuil. à soupe d'huile d'olive,-  20 cl de lait de coco,-  1 cuil. à café de curry en poudre,-  1 bouquet de coriandre,-  Sel, poivre}",,,29
